id;question;ground_truth;source_book;answer;contexts_count;faithfulness;answer_relevancy;context_precision;context_recall;answer_response_time_seconds;answer_input_tokens;answer_output_tokens;answer_total_tokens
Q011;Quais são os tipos de dados primitivos usados na lógica de programação?;São quatro: inteiro (números inteiros positivos, negativos ou zero), real (números com casas decimais), caractere (letras, números e símbolos tratados como texto) e lógico (que admite apenas os valores verdadeiro ou falso).;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Com base no contexto fornecido, os tipos de dados primitivos (ou básicos) usados na lógica de programação são classificados em três grupos:

* **Numéricos:** que podem ser **Inteiro** (valores positivos e negativos, excluindo valores fracionários) ou **Real** (valores que incluem frações).
* **Caractere (ou Cadeia):** representados por valores alfabéticos ou alfanuméricos.
* **Lógico:** representados pelos valores falso e verdadeiro. 

*(Nota: O contexto também menciona que em linguagens específicas como o PASCAL, esses tipos podem aparecer com nomes predefinidos como Integer, Char, Byte, Real, String e Boolean).*";5;1.0;0.920356848960144;0.8666666666377778;1.0;4.64872;1036;864;1900
Q012;O que caracteriza o tipo de dado lógico?;É um tipo de informação biestável, ou seja, só pode assumir um de dois estados possíveis, convencionalmente representados como verdadeiro (V) ou falso (F), como uma porta que só pode estar aberta ou fechada.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"De acordo com o contexto, o tipo de dado lógico é caracterizado por:
- Dados com valores binários do tipo sim e não, verdadeiro e falso, 1 e 0, entre outros, em que apenas um dos valores pode ser escolhido.
- Toda informação que pode assumir duas situações: verdadeiro ou falso.
- Também é conhecido como tipo booleano.";5;1.0;0.8535925785258325;0.99999999998;0.5;4.547773;1131;535;1666
Q013;Para que serve o comando 'leia' em um algoritmo?;É o comando de entrada de dados: recebe um valor vindo de fora do algoritmo, como algo digitado pelo usuário, e atribui esse valor à variável indicada entre parênteses.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];Segundo o contexto, o comando de entrada (representado pela palavra LEIA) é utilizado para receber dados digitados pelo usuário, que serão armazenados em variáveis.;5;1.0;0.7487338837218077;0.6388888888675925;1.0;5.793339;948;437;1385
Q014;De onde vêm os dados que o comando de entrada armazena nas variáveis?;"Vêm de fora do algoritmo, como o teclado ou outro dispositivo de entrada, semelhante aos ingredientes que entram em uma receita; sem essa entrada, o algoritmo não teria nada com que trabalhar.";Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];Os dados vêm de um dispositivo de entrada de dados (como o teclado do computador) ou de um arquivo em disco, consistindo em dados digitados pelo usuário.;5;1.0;0.6881539641352195;0.9999999999666667;0.3333333333333333;2.164042;851;318;1169
Q015;Qual é a função do comando 'escreva' em um algoritmo?;É o comando de saída de dados: exibe o conteúdo de uma variável identificada, mostrando ao usuário o resultado ou a resposta calculada pelo algoritmo.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Com base no contexto fornecido, a função do comando 'escreva' é a de ser um **comando de saída de dados**. Ele é utilizado para mostrar dados na tela ou na impressora, podendo exibir conteúdos de variáveis ou mensagens (cadeias de caracteres). 

Além disso, as expressões passadas na lista do comando são analisadas e seus resultados são impressos na saída padrão. Uma característica específica do comando 'escreva' em relação ao 'escreval' é que, após terminar a execução, o cursor permanece na mesma posição em que estava, ou seja, ele não muda de linha.";5;1.0;0.8178437370592241;0.999999999975;1.0;5.72806;1049;629;1678
Q016;É possível exibir mais de uma informação em um único comando 'escreva'?;"Sim, basta colocar entre parênteses vários identificadores, expressões ou trechos de texto separados por vírgulas, como em escreva(""Você pesa"", W, ""quilos""), permitindo combinar texto fixo com o valor de variáveis.";Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Sim, é possível. De acordo com o contexto, os comandos de saída aceitam uma ""lista-de-expressões"" que devem estar entre parênteses e separadas por vírgula. O exemplo fornecido no contexto, `escreval (“A = “, A, “ e B = “, B)`, demonstra que múltiplas informações (uma cadeia de caracteres e o valor de variáveis) podem ser exibidas em um único comando.";5;1.0;0.74264462107486;0.9166666666361111;1.0;6.559565;1257;581;1838
Q017;Quais são os operadores aritméticos básicos usados em algoritmos?;São a adição (+), a subtração (-), a multiplicação (*) e a divisão (/), usados para representar as operações matemáticas fundamentais entre constantes ou variáveis numéricas.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];Os operadores aritméticos básicos usados em algoritmos são: adição (+), subtração (-), multiplicação (*) e divisão (/).;5;1.0;1.0000000000000002;0.8666666666377778;1.0;3.174563;1020;278;1298
Q018;Como a potenciação e a radiciação são representadas em pseudocódigo, já que os símbolos ^ e √ não são usados?;Em vez disso, usam-se palavras-chave: pot(x,y) representa x elevado a y, e rad(x) representa a raiz quadrada de x.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"De acordo com o contexto, a potenciação e a radiciação são representadas em pseudocódigo usando as palavras-chave **pot** e **rad**, respectivamente:

- **Potenciação:** Representada por `pot(x,y)`, significando ""x elevado a y"" (exemplo: `pot(2,3)`). 
- **Radiciação:** Representada por `rad(x)`, significando ""raiz quadrada de x"" (exemplo: `rad(9)`).

O contexto também menciona que uma potência como a² pode ser representada simplesmente por `a*a`.";5;1.0;0.8943806240858078;0.5833333333041666;1.0;7.531065;1280;746;2026
Q019;Para que servem os operadores relacionais?;Servem para comparar dois valores de um mesmo tipo primitivo, sejam constantes, variáveis ou expressões aritméticas, permitindo construir entre eles relações como igualdade ou desigualdade.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];De acordo com o contexto, os operadores relacionais servem para estabelecer uma condição, ou seja, uma relação lógica entre dois elementos. Eles são responsáveis por comparar os valores de seus dois operandos. O resultado obtido dessa comparação ou relação é sempre um valor lógico (verdadeiro ou falso).;5;1.0;0.980847972434762;0.94999999997625;1.0;13.692864;1049;738;1787
Q020;De que tipo é sempre o resultado de uma comparação feita com um operador relacional?;É sempre um valor lógico, verdadeiro ou falso, dependendo de a relação testada entre os dois valores comparados se verificar ou não.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];De acordo com o contexto, o resultado de uma comparação feita com um operador relacional é sempre um valor lógico (ou booleano), ou seja, verdadeiro ou falso.;5;1.0;0.9382701067427762;0.8666666666377778;1.0;5.797681;1063;423;1486
Q021;Quais são os três operadores lógicos básicos e o que cada um faz?;"São o não, que inverte o valor de uma condição (negação); o e, que só resulta verdadeiro quando ambos os operandos são verdadeiros (conjunção); e o ou, que resulta verdadeiro quando pelo menos um dos operandos é verdadeiro (disjunção).";Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Com base no contexto, os três operadores lógicos que trabalham diretamente com mais de uma condição são o **e**, o **ou** e o **xou**. O que cada um faz:

*   **ou**: Operador que resulta VERDADEIRO quando um dos seus operandos lógicos for verdadeiro.
*   **e**: Operador que resulta VERDADEIRO somente se seus dois operandos lógicos forem verdadeiros.
*   **xou**: Operador que resulta VERDADEIRO se seus dois operandos lógicos forem diferentes, e FALSO se forem iguais.";5;1.0;0.8352103486133715;0.8874999999778125;1.0;8.724407;1139;1103;2242
Q022;Em que situação o operador lógico 'e' entre duas condições resulta verdadeiro?;"Somente quando ambas as condições avaliadas são simultaneamente verdadeiras; se qualquer uma delas for falsa, o resultado do 'e' também será falso.";Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];De acordo com o contexto, o operador lógico 'e' resulta VERDADEIRO somente se seus dois operandos lógicos (ou proposições) forem verdadeiros.;5;1.0;0.8617529759684072;0.8333333332916666;1.0;2.911713;1086;348;1434
Q023;O que o comando de atribuição faz em um algoritmo?;Fornece um valor a uma variável, armazenando nela o resultado de uma expressão ou uma constante, desde que o tipo desse valor seja compatível com o tipo declarado da variável.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Com base no contexto fornecido, o comando de atribuição pode ser definido como uma ação a ser executada. Suas principais funções e características são:

1. Atribuir um valor a um identificador (o nome de uma variável), que deve estar explicitado no lado esquerdo do símbolo de igualdade (ou `:=` em Pascal).
2. O valor atribuído pode ser o resultado de uma expressão, o valor de uma variável ou uma constante. O resultado da expressão será armazenado no identificador.
3. Ele fornece o mecanismo por meio do qual o usuário pode mudar dinamicamente as vinculações de valores a variáveis nas linguagens imperativas.

O contexto também ressalta que o comando de atribuição não representa uma igualdade matemática, mas sim a atribuição de um valor a uma variável.";5;1.0;0.6360127194990778;0.9999999999666667;0.0;5.058274;1062;1042;2104
Q024;O que deve existir do lado esquerdo do símbolo de atribuição?;Deve haver apenas um único identificador, ou seja, o nome de uma variável, pois é ali que será armazenado o valor calculado no lado direito da expressão.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Do lado esquerdo do símbolo de atribuição deve existir uma variável (também referida no texto como identificador, que é uma variável). Como o contexto menciona: ""identificador é uma variável e sempre aparecerá do lado esquerdo da atribuição"" e que o valor é ""transferido para a variável posicionada à esquerda do símbolo de atribuição"".";5;1.0;0.7162555510384436;0.32499999998375;1.0;3.78832;820;660;1480
Q025;O que caracteriza a estrutura sequencial de um algoritmo?;É quando o conjunto de ações do algoritmo é executado uma após a outra, em ordem linear de cima para baixo, seguindo exatamente a mesma ordem em que as ações foram escritas.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];De acordo com o contexto, a estrutura sequencial de um algoritmo é caracterizada pelo fato de que o conjunto de ações primitivas será executado em uma sequência linear de cima para baixo e da esquerda para [direita]. Além disso, estabelece a sequência a ser executada, descrevendo de forma sucinta a ação passo a passo para a solução do problema indicado, baseando-se nas etapas de trabalho de um computador: entrada, processamento e saída.;5;1.0;0.9627837955224526;0.49999999995;1.0;7.630115;1075;1230;2305
Q026;Como as ações costumam ser separadas dentro da estrutura sequencial de um algoritmo?;"Por convenção, cada ação é separada da seguinte por um ponto e vírgula (;), sinalizando que, uma vez alcançada, o próximo comando da sequência deve ser executado.";Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"De acordo com o contexto, as ações costumam ser separadas por um **ponto-e-vírgula (;)**. O texto menciona que essa convenção tem o objetivo de separar uma ação da outra e auxiliar na organização sequencial das ações, indicando que após encontrar um (;), deve-se executar o próximo comando da sequência.";5;1.0;0.724233957514718;0.19999999998;1.0;6.190716;1158;411;1569
Q027;Qual é a ordem de prioridade entre parênteses, operadores aritméticos, operadores relacionais e operadores lógicos em uma expressão?;Primeiro resolvem-se os parênteses mais internos, depois os operadores aritméticos, em seguida os operadores relacionais e, por fim, os operadores lógicos.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Com base no contexto fornecido, a ordem de prioridade (precedência) entre os elementos em uma expressão é a seguinte:

1. **Parênteses:** São utilizados com a finalidade de estabelecer uma nova ordem de execução entre os operadores. Caso seja necessário alterar o nível de prioridade de um cálculo, ele deve ser colocado entre parênteses (podendo-se usar vários níveis).
2. **Operadores aritméticos:** Possuem a 1ª e 2ª prioridade. Primeiro são realizadas as operações de multiplicação e divisão (`*`, `/`), e em seguida a adição e subtração (`+`, `-`). *Nota: o operador `div` possui nível de prioridade inferior a qualquer outro operador aritmético.*
3. **Operadores relacionais:** Possuem a 3ª e 4ª prioridade. Primeiro os operadores `>`, `<`, `>=`, `<=` e, na sequência, `=` e `z`.
4. **Operadores lógicos:** Possuem a 5ª, 6ª e 7ª prioridade. A ordem é:
   - 5ª: `não` (Negação) — possui o maior nível de prioridade lógica;
   - 6ª: `e` (Conjunção) — nível médio de prioridade;
   - 7ª: `ou` (Disjunção inclusiva) e `xou` (Disjunção exclusiva) — possuem o baixo nível de prioridade.";5;1.0;0.7827459248076155;0.99999999995;1.0;5.891847;1086;1213;2299
Q028;Entre os operadores lógicos não, e e ou, qual tem a maior prioridade na resolução de uma expressão?;"O operador não tem a maior prioridade, seguido pelo e e, por último, pelo ou; essa é a ordem em que são resolvidos quando aparecem juntos em uma mesma expressão lógica.";Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];O operador .não. (negação) é o que possui maior nível de prioridade na resolução de uma expressão lógica.;5;1.0;0.8748816267666832;0.99999999995;1.0;4.683788;1138;453;1591
Q029;Quais são os tipos de dados numéricos usados em Python e qual é a diferença entre eles?;"Python trabalha com números inteiros (int), que não têm parte decimal, e números de ponto flutuante (float), que têm parte decimal; mesmo um valor como 1.0, com zero na casa decimal, já é considerado de ponto flutuante.";Introdução à programação com Python (Nilo Ney Coutinho Menezes) [Introduction to Programming with Python];"De acordo com o contexto, os tipos de dados numéricos usados em Python são os **números inteiros** e os **números de ponto flutuante** (ou decimais). 

A diferença entre eles é a seguinte:

* **Números inteiros:** São aqueles sem parte decimal. Exemplos: 1, 0, -5, 550, -47, 30000.
* **Números de ponto flutuante (ou decimais):** São aqueles que possuem parte decimal. Exemplos: 1.0, 5.478, 10.478, 30000.4. O texto destaca que, mesmo que a parte decimal seja zero (como no caso do 1.0), o número é classificado como de ponto flutuante. 

Além disso, em Python (e na maioria das linguagens de programação), utiliza-se o ponto (e não a vírgula) como separador entre a parte inteira e fracionária, e não se utiliza nada como separador de milhar (exemplo: um milhão é escrito como 1000000).";5;0.9;0.9321981992053033;0.9999999999;1.0;18.168186;1213;1179;2392
Q030;Como Python representa os valores lógicos (booleanos)?;Ele usa o tipo lógico, também chamado de booleano, escrevendo True para representar verdadeiro e False para representar falso, sempre com a primeira letra maiúscula.;Introdução à programação com Python (Nilo Ney Coutinho Menezes) [Introduction to Programming with Python];De acordo com o contexto, em Python os valores lógicos (booleanos) são representados escrevendo **True** para verdadeiro e **False** para falso. O texto também ressalta que as letras iniciais T e F devem ser escritas com letras maiúsculas.;5;1.0;0.864256071756288;0.7555555555303703;1.0;4.09278;1125;384;1509
Q031;Como funciona a estrutura condicional simples (se-então) e quando o comando associado a ela é de fato executado?;"Na estrutura condicional simples, um comando (ou bloco de comandos) só é executado quando a condição testada é verdadeira; se a condição for falsa, a estrutura termina sem executar nada. Quando mais de um comando depende da condição, esse conjunto deve ser delimitado por marcadores de início/fim de bloco (como início/fim), o que não é necessário quando há apenas um comando.";Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Com base no contexto fornecido, a estrutura condicional simples funciona da seguinte maneira:

Ela utiliza os comandos `se`, `então` e `fim_se` (ou `INÍCIO` e `FIM` na estrutura de algoritmos). Uma condição — que é uma comparação possuidora de dois valores possíveis: verdadeiro ou falso — é definida entre os comandos `se` e `então`. 

O comando (ou a sequência de instruções) associado a essa estrutura é de fato executado **apenas se a condição for verdadeira**. Se a condição for verdadeira, todas as instruções subordinadas dentro do bloco adjacente (entre `se...então` e `fim_se`) serão executadas. Caso a condição seja falsa, essas instruções são ignoradas e serão executadas apenas as eventuais instruções que estiverem após o comando `fim_se`.";5;1.0;0.7500936294748054;0.4499999999775;1.0;11.404786;1028;881;1909
Q032;Qual é a diferença entre a estrutura condicional simples e a composta?;"Na estrutura simples há apenas um desvio (então), que executa uma ação somente quando a condição é verdadeira, não fazendo nada se ela for falsa. Na estrutura composta há dois desvios, então e senão: se a condição for verdadeira, o bloco do então é executado; se for falsa, o bloco do senão é executado, garantindo que alguma ação seja sempre tomada.";Fundamentos da programação de computadores (Ana Fernanda Gomes Ascencio et al.) [Fundamentals of Computer Programming];"De acordo com o contexto, a diferença entre a estrutura condicional simples e a composta é:

- **Condicional Simples (Formato 1):** Possui a estrutura básica `se <condição> entao <sequência-de-comandos> fimese`. Ela permite efetuar um desvio e executar um trecho de programa caso a condição seja verdadeira, enquanto o outro trecho é ignorado.
- **Condicional Composta (Formato 2):** Possui a estrutura `if (condição) comando1; else comando2;`. Além dos elementos já existentes no comando condicional simples, ela acrescenta a palavra-chave `else` (senão). Nela, a condição é uma expressão lógica que, sendo verdadeira, faz com que o `comando1` seja executado e, sendo falsa, faz com que o `comando2` seja executado. Somente após executar um dos comandos o controle passará para o próximo comando após o fim da estrutura condicional.";5;1.0;0.9992900687219078;0.3333333333;1.0;20.889304;1194;1145;2339
Q033;Em uma seleção composta, o que acontece se o resultado da condição for falso?;Quando o resultado da condição avaliada é falso, o algoritmo desvia para o bloco associado à cláusula senão, executando a sequência de comandos (ou a ação única) prevista para esse caso, em vez do bloco associado ao então, que só é executado quando a condição é verdadeira.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];Caso o resultado da condição seja falso, teremos a execução do comando C (ação primitiva) que segue a cláusula senão.;5;1.0;0.802062782790281;0.4777777777618519;1.0;3.17236;1010;780;1790
Q034;O que caracteriza uma estrutura condicional encadeada (senão-se) e por que ela é chamada de heterogênea quando não há um padrão de construção identificável?;Uma estrutura encadeada surge quando várias seleções são agrupadas em sequência, geralmente porque uma ação só deve ocorrer se um amplo conjunto de possibilidades ou combinações de condições for satisfeito, testando uma nova condição dentro da cláusula senão da anterior. Quando essas seleções encadeadas não seguem um padrão lógico de construção identificável, a estrutura é chamada de estrutura encadeada heterogênea.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"De acordo com o contexto, uma estrutura de seleção encadeada é caracterizada pelo encadeamento de várias seleções, no qual ""a resposta de uma condição gera outra questão, isto é, outra condição"", permitindo diversos caminhos e elevando as possibilidades de construção.

Ela é chamada de seleção encadeada heterogênea quando ""não conseguimos identificar um padrão lógico de construção em uma estrutura de seleção encadeada"".";5;1.0;0.7250062961757919;0.9999999999;0.5;9.649338;1147;1066;2213
Q035;Como um algoritmo pode usar comandos condicionais aninhados (um se dentro de outro) para refinar uma decisão já tomada, como na classificação da nota de aprovação de um aluno em faixas?;"Um comando condicional aninhado é um se colocado dentro do bloco verdadeiro (ou falso) de outro se, permitindo que uma segunda decisão seja avaliada somente depois de a primeira condição já ter sido confirmada. No exemplo da média de um aluno, verifica-se primeiro se o aluno foi aprovado (média maior ou igual a 5); só então, dentro desse bloco, novos comandos verificam a faixa exata da média para escrever se a aprovação foi com louvor, mérito ou distinção, e cada se aninhado precisa de seu próprio marcador de fechamento correspondente.";Algoritmos e Programação de Computadores (Dilermando Junior, Gilberto Nakamiti) [Algorithms and Computer Programming];"De acordo com o contexto, um algoritmo pode necessitar de comandos condicionais mais complexos, colocando um comando condicional dentro de outro, o que é chamado de **comandos aninhados**. A necessidade de compor essa estrutura surge de acordo com o problema a ser resolvido.

No exemplo da classificação do aluno, o algoritmo inicialmente toma a decisão básica: se a média é maior ou igual a 5, o aluno está ""APROVADO""; se for menor, está ""REPROVADO"". 

Para refinar essa decisão já tomada (no caso de aprovação), um novo comando condicional é aninhado dentro da estrutura de aprovação. Isso permite adicionar ""palavras complementares ao desempenho do aluno de acordo com a média que o aprovou"". Assim, se a média for maior ou igual a 5, além de imprimir a palavra ""APROVADO"", o algoritmo aninharia outra condição para classificar a nota em faixas específicas (embora o texto exato do exemplo de aninhamento seja cortado no contexto, o princípio de refinar a decisão por meio de um ""se"" dentro do outro fica estabelecido).

Além disso, o contexto aponta que, para realizar essa classificação em faixas, o mesmo resultado do condicional aninhado pode ser obtido de forma mais organizada utilizando o **comando de seleção** (estrutura de casos), onde a média é dividida em casos específicos, como:
- caso 10: Escreva “Aprovado com Louvor”
- caso 8,9: Escreva “Aprovado com Mérito”
- caso 6,7: Escreva “Aprovado com Destaque”
- caso 5: Escreva “Aprovado”
- outrocaso: Escreva “Reprovado”";5;0.95;0.7881502105721628;0.99999999995;0.6666666666666666;25.235272;1242;1381;2623
